"성별(1)","시점","질병별(1)",계,0세,1 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85세 이상
"성별(1)","시점","질병별(1)",급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원),급여비 (천원)
"계","2012","희귀난치성질환",2584893773,4097048,17672676,27596375,38423707,52156133,68416929,80009919,113862320,134688558,167150120,184193863,252042610,275972851,267158358,253808318,272573389,209120995,113546268,52403337
"계","2013","희귀난치성질환",2820442640,5305379,24343073,24785777,42626788,54869349,73543877,80712069,123614019,135374480,179891338,199418626,264756361,301453375,285781181,277447836,299946080,243627051,136328252,66617729
"계","2014","희귀난치성질환",3130617824,7119279,28803106,27016677,44174760,60968113,81997080,90054417,126344606,145724150,189061005,221082224,281790440,334549968,319511815,309282349,322405895,284284124,168603342,87844477
"계","2015","희귀난치성질환",3435228078,9278780,39007157,30805361,42618422,65270263,91628932,97821310,127827193,157983375,193575974,235248141,290981517,367659625,360191739,348677556,344736661,317704880,206771010,107440182
"계","2016","희귀난치성질환",3774905410,10887939,48768061,36635191,46842174,71957648,94902812,108619528,129442366,170476829,200523251,256478115,295469147,402379086,408426090,384677183,369948567,357624458,248654536,132192430
"계","2017","희귀난치성질환",4098716878,7658280,48776447,38456953,49839206,75504733,99653436,122846311,136127135,176956925,208183994,278272250,309445090,421166122,441034379,422339815,390502616,419619052,289494149,162839985
"계","2018","희귀난치성질환",4491794783,4153785,29388967,30438504,40105309,75097567,107886996,139647349,139824720,196130150,217294913,290421594,339056117,449977856,493931059,458851747,445522663,473504562,350930108,209630816
"계","2019","희귀난치성질환",4972915144,3903625,30769926,32524797,42969413,81441801,118099800,156307301,156929289,206584426,237289496,306222489,370068039,467575825,553646699,509442245,504964584,520918527,413595487,259661375
"계","2020","희귀난치성질환",5176701490,1607445,19254335,32054843,42979844,78642482,124262193,168708509,165781227,206668772,248301935,309783724,382485587,470150000,586615077,562490669,540187741,526559707,430123256,280044144
"계","2021","희귀난치성질환",5609724175,1846440,19898283,38207896,45672518,87557281,134886163,186238276,192906957,220914573,267839070,322713247,417159985,482574752,630568471,633044815,575262537,550455429,479852289,322125195
